,order_id,product_id,unit_price_moment,quantity,discount,customer_id,employee_id,order_date,required_date,shipped_date,freight,ship_name,ship_address,ship_city,ship_country,order_year,year_month,product_name,supplier_id,category_id,quantity_per_unit,unit_price_historic,units_in_stock,units_on_order,reorder_level,discontinued,company_name,contact_name,contact_title,address,city,postal_code,country,total_item
0,10248,11,14.0,12,0.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,1996,1996-07,Queso Cabrales,5,4,1 kg pkg.,21.0,22,30,30,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,168.0
1,10248,42,9.8,10,0.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,1996,1996-07,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,26,0,0,1,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,98.0
2,10248,72,34.8,5,0.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,1996,1996-07,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,51100,France,174.0
3,10249,14,18.6,9,0.0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,Germany,1996,1996-07,Tofu,6,7,40 - 100 g pkgs.,23.25,35,0,0,0,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,44087,Germany,167.4
4,10249,51,42.4,40,0.0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,Germany,1996,1996-07,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,20,0,10,0,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,44087,Germany,1696.0
5,10250,41,7.7,10,0.0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,Brazil,1996,1996-07,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,77.0
6,10250,51,42.4,35,0.15,HANAR,4,1996-07-08,1996-08-05,1996-07-12,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,Brazil,1996,1996-07,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,20,0,10,0,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,1469.0
7,10250,65,16.8,15,0.15,HANAR,4,1996-07-08,1996-08-05,1996-07-12,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,Brazil,1996,1996-07,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,237.0
8,10251,22,16.8,6,0.05,VICTE,3,1996-07-08,1996-08-05,1996-07-15,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,France,1996,1996-07,Gustaf's Knäckebröd,9,5,24 - 500 g pkgs.,21.0,104,0,25,0,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,69004,France,95.80000000000001
9,10251,57,15.6,15,0.05,VICTE,3,1996-07-08,1996-08-05,1996-07-15,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,France,1996,1996-07,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,36,0,20,0,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,69004,France,229.0
10,10251,65,16.8,20,0.0,VICTE,3,1996-07-08,1996-08-05,1996-07-15,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,France,1996,1996-07,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,69004,France,336.0
11,10252,20,64.8,40,0.05,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Belgium,1996,1996-07,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,40,0,0,0,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,2587.0
12,10252,33,2.0,25,0.05,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Belgium,1996,1996-07,Geitost,15,4,500 g,2.5,112,0,20,0,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,45.0
